,dat_log
288,1.875181077
289,2.125131668
290,1.794422587
291,1.863149465
292,2.292736757
293,2.155012729
294,2.223758312
295,2.202322671
296,2.370804332
297,2.407485503
298,1.926290362
299,2.350041034
300,2.350041034
301,2.377321439
302,2.247495127
303,2.42356302
304,2.288486169
305,2.25779691
306,2.397167735
307,2.34698468
308,2.377135824
309,2.366686018
310,2.137474573
311,2.432208861
312,2.205853904
313,2.479894108
314,2.410183104
315,2.496341027
316,2.623653584
317,2.554588173
318,2.654508768
319,2.29071492
320,2.591666186
321,2.418766847
322,2.536549883
323,2.261346345
324,2.680199273
325,2.340458745
326,2.490888721
327,2.325129057
328,2.613592991
329,2.361985436
330,2.31767073
331,2.354038375
332,2.516405317
333,2.171336806
334,2.442868638
335,2.472665363
336,2.450487723
337,2.473340013
338,2.333114298
339,1.957556354
340,2.119623331
341,2.285642372
342,2.4765384
343,2.522844489
344,2.567407871
345,2.589116504
346,2.250870657
347,1.524751104
348,2.728244908
349,2.510736826
350,2.667783608
351,2.554277228
352,2.647308906
353,2.497822875
354,2.456850052
355,2.319835446
356,2.818995095
357,2.720242242
358,2.611686133
359,2.573680362
360,2.421611799
361,2.164012443
362,2.3278629
363,2.474519557
364,2.406764912
365,2.240709689
366,2.727460595
367,2.446165821
368,2.22850789
369,2.366498419
370,2.352517462
371,2.350613062
372,2.562793188
373,2.446512262
374,2.25884217
375,2.083682536
376,1.987874348
377,1.726687472
378,2.025249313
379,2.246649461
380,2.304782677
381,2.268407641
382,1.811888841
383,2.098263296
384,2.276241118
385,2.117700254
386,2.135821875
387,2.141711867
388,1.674476309
389,1.358409158
390,2.112150716
391,2.221158094
392,2.022077224
393,1.959249356
394,1.910134922
395,1.621366483
396,1.85754721
397,1.990063731
398,1.979344925
399,2.098508604
400,2.16791019
401,2.226567607
402,1.754057602
403,1.985130862
404,2.025249313
405,2.12608655
406,1.999586316
407,2.128469773
408,2.132982309
409,1.798072831
410,1.725263478
411,2.224839744
412,2.145931283
413,2.155244505
414,2.208054609
415,2.166994439
416,2.031825688
417,1.894316058
418,2.131322164
419,2.267786587
420,2.294754514
421,2.312733424
422,2.381211413
423,2.01169789
424,1.988148283
425,2.361419879
426,2.218333541
427,2.185151996
428,2.501272004
429,2.334471282
430,2.304383475
431,2.109243033
432,2.374161291
433,2.121542718
434,2.502419075
435,2.308368338
436,2.291524146
437,2.151529618
438,1.89641974
439,2.130609828
440,2.249817027
441,2.268407641
442,2.239219217
443,2.103890222
444,2.050784832
445,1.781035506
446,2.188968366
447,2.095068798
448,2.187847416
449,2.270061901
450,2.179739263
451,1.987600338
452,1.680082752
453,1.898818542
454,2.073171929
455,2.009555414
456,1.897319965
457,1.881904819
458,1.478873542
459,1.56
460,1.657847052
461,1.653646167
462,1.701834762
463,1.550960983
464,1.429832663
465,1.222598268
466,1.087214244
467,1.101275406
468,1.801049516
469,1.341819871
470,0.961646434
471,0.962410667
472,0.517602608
473,0.265436464
474,0.75235904
475,0.679048256
476,0.618423634
477,0.498348102
478,0.829424799
479,0.430482871
480,0.527092596
481,0.829424799
482,0.635518068
483,0.75235904
484,0.834646743
485,0.563038495
486,0.471252849
487,0.185649347
488,0.575489137
489,0.58221562
490,0.581097677
491,0.426574071
492,0.412109651
493,0.400117502
494,0.332177312
495,0.274596833
496,0.43567095
497,0.445967051
498,0.138021298
499,0.767326579
500,0.349247428
501,0.347835995
502,0.329303747
503,0.313349819
504,0.521171916
505,0.436963775
506,0
507,0.648149815
508,0.379805361
509,0.404130885
510,0.448524598
511,0.389335726
512,0.426574071
513,0.347835995
514,0.253090628
515,0.224742273
516,0.400117502
517,0.429181635
518,0.434376452
519,0.529451088
520,0.387979794
521,0.262364264
522,0.257738196
523,0.368801124
524,0.329303747
525,0.361861471
526,0.482426149
527,0.322083499
528,0.202124184
529,0.158711691
530,0.268499253
531,0.448524598
532,0.508021696
533,0.58556197
534,0.483659956
535,0.448524598
536,0.357674444
537,0.545806593
538,0.548121409
539,0.637634471
540,0.687129108
541,0.74098451
542,0.618423634
543,0.484892242
544,0.83984156
545,0.874635057
546,0.913085601
547,1.036027413
548,1.001366904
549,0.784814369
550,0.71392972
551,0.950885377
552,1.063330475
553,1.148671489
554,1.174955855
555,1.213130742
556,1.049422044
557,1.013780353
558,1.288130112
559,1.241268589
560,1.369148202
561,1.306168317
562,1.405606672
563,1.205371825
564,1.001366904
565,1.448799566
566,1.47522057
567,1.549263189
568,1.545006052
569,1.812868432
570,1.266384064
571,1.283153602
572,1.535145308
573,1.471094963
574,1.618199418
575,1.928618652
576,1.670721141
577,1.360976553
578,1.446448284
579,1.550536805
